id,name,category,quality,description,count,is_base,is_material,socket_count,props,pack_probability,icon_path
__desc__,中文说明行,分类：map_base=地图基底；terrain/plant/mineral/food/creature/water/site/hazard=地图元素分类,品质：COMMON/RARE/EPIC/LEGENDARY,这里填写给玩家看的地图元素说明,调试背包初始数量,是否可作为基底 TRUE/FALSE,是否可作为材料 TRUE/FALSE,基底可镶嵌槽位数量；非基底填 0,属性键值，用分号分隔，例如 森林:1;资源:2,卡包内抽取权重：同分类卡包内按权重随机，品质越高建议越低,可选图标路径 res://...
forest_map,森林地图,map_base,COMMON,森林环境地图基底。适合生成树木、灌木、野兽和木材资源更密集的明日地图。,1,TRUE,FALSE,3,森林:2;木材:2;隐蔽:1;风险:1,100,
grassland_map,草原地图,map_base,COMMON,草原环境地图基底。适合生成开阔视野、低遮蔽和稳定食物来源的明日地图。,1,TRUE,FALSE,3,草原:2;视野:1;风险:1,100,
plain_map,平原地图,map_base,COMMON,基础地图基底。适合承载低风险、资源均衡的明日地图组合。,1,TRUE,FALSE,3,平原:1;风险:1,0,
ruins_map,遗迹地图,map_base,RARE,遗迹环境地图基底。适合生成废墟建筑、容器、异常线索和更高遭遇风险。,1,TRUE,FALSE,4,遗迹:2;建筑:2;线索:1;风险:2,45,
snow_mountain_map,雪山地图,map_base,EPIC,雪山环境地图基底。适合生成低温、高地、视野阻碍和稀有资源。,1,TRUE,FALSE,5,雪山:3;寒冷:3;高地:2;风险:3,15,
swamp_map,沼泽地图,map_base,RARE,沼泽环境地图基底。适合生成水域、潮湿地形、毒性威胁和湿地资源。,1,TRUE,FALSE,4,沼泽:2;水域:2;移动惩罚:1;风险:2,45,
volcano_map,火山地图,map_base,EPIC,火山环境地图基底。适合生成高温、灰烬、稀有矿物和高风险路线。,1,TRUE,FALSE,5,火山:3;火风险:3;矿物:2;风险:3,15,
ash_land,灰烬地,terrain,RARE,提高烧灼地表、炭化资源和火焰风险出现概率。,2,FALSE,TRUE,0,灰烬:2;火风险:2;炭化木:1,35,
cliff,断崖,terrain,RARE,提高断崖、狭窄路线和坠落风险地形出现概率。,2,FALSE,TRUE,0,高地:2;风险:2;路线限制:1,35,
hill,丘陵,terrain,COMMON,提高高低差、坡地和绕路地形出现概率。,3,FALSE,TRUE,0,高地:2;障碍:1,100,
meadow,草甸,terrain,COMMON,生成开阔草甸倾向，视野更好但遮蔽物更少。,3,FALSE,TRUE,0,平原:1;草地:2;视野:1,100,
mist_valley,雾谷,terrain,RARE,提高低能见度区域和伏击事件出现概率。,2,FALSE,TRUE,0,迷雾:2;风险:2;隐蔽:1,35,
rock,岩石,terrain,COMMON,提高岩石地貌、碎石障碍和采石点出现概率。,4,FALSE,TRUE,0,岩石:1;障碍:1,100,
pond,池塘,water,COMMON,提高池塘、水边资源和潮湿区域出现概率。,3,FALSE,TRUE,0,水域:1;食物:1,100,
river,河流,water,COMMON,提高河道、水产和路线切割地形出现概率。,3,FALSE,TRUE,0,水域:2;鱼类:1;路线限制:1,100,
spring,泉眼,water,RARE,提高安全水源、恢复点和清洁资源出现概率。,2,FALSE,TRUE,0,水源:3;安全:1,35,
swamp,沼泽,water,RARE,提高泥泞湿地、减速地形和湿地资源出现概率。,2,FALSE,TRUE,0,水域:2;潮湿:2;移动惩罚:1,35,
ancient_altar,古代祭坛,site,EPIC,提高异常仪式、稀有事件和高代价奖励出现概率。,1,FALSE,TRUE,0,异常:3;奖励:3;风险:3,12,
